Scenario,Alpha,Beta,Duration,Finished,Total_NPV,Total_Undiscounted_Cost,Total_Carbon
Base,0.55,0.95,173,True,22411280560623.145,361174065626298.06,511914053761.4159
Tax_High,0.55,0.95,173,True,22413570647637.152,361209899610061.44,511914053761.4159
Fuel_High,0.55,0.95,173,True,22527815285769.508,362139837643715.8,511914053761.4159
TR_Cost_Low,0.55,0.95,173,True,14991604554063.736,241207317030154.75,511914053761.4159
TR_Cost_High,0.55,0.95,173,True,44670308580301.29,721074311414728.1,511914053761.4159
TR_Growth_Low,0.55,0.95,225,True,19243992825039.297,363939746776547.6,520498119191.39435
TR_Growth_High,0.55,0.95,147,True,25539262621005.24,360472176112248.56,508527218994.0711
SE_Cap_Low,0.55,0.95,151,True,25505195943123.4,376487263215471.25,526629565686.1434
SE_Cap_High,0.55,0.95,143,True,25570979725865.76,344493241742620.6,490250780470.1167
BuildCap_Low,0.55,0.95,158,True,25565276471914.316,404981455478400.3,570639531209.5957
BuildCap_High,0.55,0.95,153,True,25555560236938.195,385587701822709.06,543556418166.281
